gl,bf,proper,dist,absmag,x,y,z
Gl 479,,,9.6918,10.718,-5.885415,-0.981456,-7.637418
Gl 680,,,9.7248,10.191,-0.692694,-6.383349,-7.30375
,,,9.7418,13.507,-7.623809,-5.416765,-2.727426
Gl 239,,,9.7466,9.686,-1.500769,9.169698,2.941219
Gl 631,12    Oph,,9.7513,5.825,-3.477447,-9.101465,-0.395514
Gl 102,,,9.7656,13.012,6.940132,5.501163,4.115667
GJ 1138,,,9.7656,13.072,-7.575548,2.397046,5.67734
Gl 638,,,9.8078,8.142,-2.62499,-7.74472,5.414454
GJ 1256,,,9.8425,13.464,6.11219,-7.247628,2.628946
Gl 367,,,9.8707,10.248,-5.716082,3.837529,-7.073973
NN 3049,,,9.901,13.122,7.305815,1.401298,-6.533854
Gl 803,,,9.9098,8.83,5.584971,-6.35954,-5.15434
GJ 2012,,,9.9206,14.547,9.025834,1.649371,-3.77256
Gl 49,,,9.9602,9.569,4.451317,1.24802,8.82229
,,,9.9671,12.167,4.421565,3.818177,-8.075542
Gl 678.1A,,,9.9771,9.335,-1.279893,-9.847494,0.964669
NN 3512,,,9.98,15.054,-3.27887,3.860968,8.598973
,,,9.993,9.992,2.478766,-0.066693,-9.680461
GJ 1028,,,10,14.46,9.125486,2.654896,-3.110793
NN 3119,,,10,14.6,8.7981,4.632201,-1.065904
NN 3126,,,10,11.03,3.812383,2.235851,8.970324
NN 3304,,,10,12.53,3.078488,8.25625,4.728346
NN 3959,,,10,14.79,-2.854261,-7.00335,6.542651
NN 3976,,,10,14.08,-2.742372,-8.82585,3.818871
NN 4248,,,10,11.8,6.951863,-3.91347,-6.029623
Gl 352A,,,10.012,10.057,-7.758109,5.882119,-2.335351
Gl 536,,,10.0281,9.704,-8.652161,-5.04848,-0.464497
Gl 609,,,10.0604,12.547,-4.607576,-8.215205,3.538084
,,,10.0644,6.476,-4.185388,-2.356764,8.843971
Gl 22A,,,10.0654,10.256,3.855636,0.550293,9.281315
Gl 75,,,10.0675,5.615,3.955256,2.009812,9.03725
NN 3079,,,10.101,14.068,9.595226,3.139221,-0.327295
Gl 172,,,10.1102,8.596,2.144056,5.710386,8.063288
Gl 22B,,,10.1276,12.372,3.879436,0.553436,9.338735
Gl 436,,,10.141,10.64,-9.031878,0.703493,4.557621
Gl 127.1B,,,10.1523,14.697,2.496467,2.736885,-9.452317
Gl 453,,,10.1574,6.956,-8.992748,0.080959,-4.7229
Gl 568A,,,10.1626,11.495,-6.761181,-6.408157,4.061269
GJ 1235,,,10.1626,13.345,3.313201,-8.904106,3.621426
NN 3526,,,10.1729,12.613,-2.721109,2.653167,9.436322
Gl 660A,,,10.1843,11.41,-2.121931,-9.955354,-0.329093
Gl 852A,,,10.1937,13.358,9.081708,-4.365172,-1.560666
Gl 852B,,,10.1937,14.358,9.079249,-4.36399,-1.560244
Gl 231,Alp Men,,10.1978,5.037,-0.119802,2.679222,-9.839152
GJ 1129,,,10.2041,12.556,-8.054933,5.392542,-3.189296
NN 3571,,,10.2041,14.006,-8.123758,4.982052,3.647928
Gl 487,,,10.2135,10.894,-4.04189,-0.878428,9.338443
Gl 748,,,10.2208,11.043,3.16458,-9.70451,0.514659
Gl 568B,,,10.2218,12.652,-6.800458,-6.446013,4.085082
Gl 799B,,,10.2249,10.952,5.600417,-6.565364,-5.484229
Gl 127.1A,,,10.2396,11.339,2.517808,2.760182,-9.533701
NN 3804,,,10.2438,11.758,-8.723342,-4.341944,-3.160104
Gl 846,,,10.2449,9.117,8.917954,-5.036744,0.25035
NN 3182,,,10.3093,15.254,4.450787,4.028231,8.38126
GJ 1083A,,,10.3413,14.777,0.800655,9.353063,4.338392
Gl 339.1,,,10.3413,13.777,-4.649761,4.043589,8.304915
Gl 649,,,10.3445,9.626,-2.484285,-8.980483,4.493186
Gl 117,,,10.352,5.975,7.367728,6.902771,-2.288171
NN 3147,,,10.352,15.915,6.96777,4.751502,6.003109
GJ 1119,,,10.352,13.245,-5.042879,5.01852,7.519823
Gl 431,,,10.3563,11.474,-7.750812,0.959396,-6.800218
Gl 286,78Bet Gem,Pollux,10.3584,1.084,-4.055465,8.19518,4.867171
Gl 508B,,,10.3724,9.721,-6.552547,-2.377192,7.681131
GJ 1134,,,10.395,12.896,-7.758437,2.761043,6.344286
Gl 452.1,,,10.4058,12.684,-10.250419,0.262174,1.772248
Gl 87,,,10.4145,9.952,8.708661,5.674387,0.649508
Gl 423A,53Xi  UMa,,10.4167,4.241,-8.73089,1.610966,5.446747
Gl 423B,53Xi  UMa,,10.4167,4.711,-8.730989,1.610983,5.446808
NN 4071,,,10.4167,12.721,1.874688,-9.936221,2.502937
Gl 595,,,10.4275,11.739,-5.564952,-8.105292,-3.476175
Gl 170,,,10.4275,13.819,3.050171,7.401475,6.68187
GJ 1265,,,10.4384,13.477,8.895466,-4.44933,-3.171748
Gl 341,,,10.4624,9.392,-3.996814,3.305667,-9.086618
NN 3412A,,,10.4789,10.908,-1.192279,4.95947,9.15366
NN 3125,,,10.5263,14.009,2.570337,1.51187,10.095079
NN 3270,,,10.5263,13.709,4.50653,9.374804,1.614692
GJ 2036B,,,10.5263,12.039,1.690648,5.661786,-8.711423
NN 3849,,,10.5263,19.629,-7.018974,-5.323617,5.759645
Gl 352B,,,10.5319,10.687,-8.160985,6.187518,-2.456396
Gl 124,Iot Per,,10.5407,3.936,4.634786,5.016825,8.029067
Gl 373,,,10.5619,8.871,-4.141492,2.484907,9.393073
Gl 488,,,10.5708,8.369,-10.312056,-2.32043,-0.141713
Gl 654,,,10.5719,9.959,-2.492689,-10.231171,-0.938748
NN 3459,,,10.6033,11.553,-4.125626,8.981866,-3.838654
GJ 1206,,,10.6338,12.107,-1.679959,-5.203377,9.120323
NN 3010,,,10.6383,13.406,9.934814,0.386096,3.784683
,,,10.6758,9.688,4.059005,9.824722,0.985911
GJ 1232,,,10.6838,13.376,3.054997,-9.710163,3.241942
Gl 617A,,,10.6872,8.466,-1.800975,-3.721866,9.854777
Gl 799A,,,10.6952,10.124,5.857959,-6.867725,-5.736307
Gl 508A,,,10.7066,8.332,-6.763524,-2.453736,7.928718
Gl 653,,,10.7066,7.552,-2.53238,-10.360059,-0.945549
Gl 635A,40Zet Her,,10.7158,2.66,-3.073152,-8.593139,5.615032
Wo 9492,,,10.7331,10.726,-3.30789,-2.83419,9.809417
Gl 145,,,10.74,11.315,4.569153,6.114994,-7.554493
